gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj),np_score
Ptgis,0.4622533292253946,0.2173813865042753,0.7895755436110097,0.6627776455512944,0.10260631200923563,0.0111
Ddx27,-0.2546542903015735,0.4202592131186762,0.8959635707038881,0.376482756977739,0.04770964811009947,0.0103779219713188
Rrp7a,0.5746817124748519,0.0824270938522786,0.6004524602541548,1.0839300118895037,0.22152137138611255,0.0106967880086262
Med13l,-0.5527087459249203,0.0147297162318817,0.2748159360673397,1.831805619763955,0.5609580869493193,0.0103138605353473
Mafk,0.037614508890742,0.868281929377957,0.9880203775175228,0.06133923738927864,0.005234098173351425,0.0133
Med1,-0.2786959913439677,0.1585702138112376,0.7344181327019879,0.7997783882183018,0.13405660899200064,0.0115201274118291
Erbb3,1.020068982939898,0.3030905833306796,0.8491629362091097,0.5184275564435052,0.0710089699360255,0.0109832159544582
Stard3,-0.3089166821814869,0.3101697939308392,0.8522247756493662,0.5084004984885774,0.0694458442597161,0.01495
Uchl5,0.2238235770222519,0.5468526949001766,0.9326248408237724,0.26212964333295025,0.030293021125774405,0.0103464379462495
Stk4,-0.2102615781606029,0.3097639102394249,0.8522247756493662,0.5089691821122521,0.0694458442597161,0.0114142857142857
Pmp22,0.2922588707463984,0.3241681582167296,0.8576439776451713,0.48922964645825157,0.06669295764321527,0.0104315739803481
Gdf9,-1.2634664027127545,0.1516057017918909,0.7266410288025403,0.8192844648636659,0.1386800839306647,0.010885562907205
Psmb6,0.4525975672658281,0.0651140724081709,0.5492641856045555,1.1863251418656933,0.2602187179300283,0.0103464379462495
Pfn1,0.4997162927740337,0.0147316694225544,0.2748159360673397,1.8317480352401005,0.5609580869493193,0.0102828571428571
Ywhab,0.1783936722850957,0.3206858307555416,0.8569774965259972,0.4939202285986113,0.06703058211752401,0.0120916751118037
Ksr1,0.2196900265248722,0.4375083065314081,0.9008696265942449,0.3590136970496491,0.04533805535562132,0.010666309043942
Gpx3,-0.9612663949096498,0.1058184868665734,0.6525405243642148,0.9754384528795234,0.18539251240153803,0.0112801804126861
Il12rb2,-0.1243249605423953,0.7436861635663068,0.9699612514878772,0.12861029857531295,0.013245614807079416,0.0104736028222436
Kpna2,-0.5825377508058333,0.1766485215613444,0.7493670739142578,0.7528899929896047,0.12530539308302144,0.0122221728240453
Smurf2,-0.1307903206298154,0.5705993310206516,0.9422777999256304,0.2436687418521107,0.0258210407436295,0.0104889659269307
Srsf1,-0.0066510068149298,0.9726106911966986,0.9983448400763546,0.012060960860570383,0.0007194223654177675,0.0102096022131126
Kif3a,-0.0364644185168,0.8711917037023372,0.9880203775175228,0.059886268988565715,0.005234098173351425,0.0103043760690181
Mrm1,0.3368727833879892,0.2581772973913375,0.8237730454919812,0.5880819497193,0.08419242260733965,0.0106692827334559
Mapt,-1.19603658296676,0.018880901020893,0.306050535470374,1.7239772844518857,0.5142068563163207,0.011885839717049
Kansl1,-0.390003444920215,0.0571765117912104,0.5182923477753851,1.2427823434872765,0.2854252031679117,0.0103278852902837
Gid4,-0.213895193281425,0.4114986742021292,0.8930147375239452,0.3856315596926031,0.049141373841002776,0.012870078797296
Akap1,0.1174425197186406,0.6607350358592334,0.957903844029272,0.17997266386383098,0.018678083931255567,0.0101327419117608
Nol11,-0.3031997015489827,0.2625654680288815,0.8245218554230934,0.5807623918438364,0.0837978281166717,0.0102158353552126
C1qbp,-0.1464098107045567,0.6097279430491869,0.9497173593314224,0.2148639013632076,0.02240562370727363,0.0105823529411764
Chd3,-0.8005102479799718,0.0003417028380375,0.0235925488130482,3.4663514141221996,1.6272251377220186,0.0104296153702608
Kdm6b,-0.423954998793509,0.0412999486237308,0.44753718966299,1.3840504885964826,0.34917086963448496,0.0136199416869215
Ncor1,-0.2941348275091929,0.1604154038679556,0.7368067312694349,0.7947539309792336,0.13264641519473325,0.0127186808627529
Cwc25,-0.0732601639840342,0.784790769315837,0.9750914568216354,0.10524611375600289,0.010954648578162756,0.0103643984180024
Pip4k2b,-0.0560790996071839,0.8477027802316106,0.9860192517174138,0.07175639247408544,0.006114605512118086,0.0107236455026459
Slc2a4,0.6921166433581725,0.2824610892706195,0.8373392570717647,0.5490413704249094,0.07709854723673375,0.0104923942600907
Gabarap,0.4272220179809823,0.0334607519850158,0.4083943421942238,1.4754643030845311,0.3889202831640907,0.0106372489573069
Acadvl,0.2866674957694709,0.4092630363739431,0.891333716637357,0.38799747798786977,0.04995966503215619,0.0106517759807246
G3bp1,0.0331411473039227,0.8653160937437374,0.9880203775175228,0.06282521890244004,0.005234098173351425,0.0110849219369004
Atox1,0.5731910976422318,0.00847409699754,0.2076115488697579,2.071906569216869,0.6827484915225053,0.01
Sparc,0.0446354454936268,0.8157090519964321,0.981870752619474,0.08846471826132102,0.007945676284737909,0.0102462793036811
Tada2a,-0.37053317121381,0.2417466224996061,0.8118532357453541,0.6166395848355724,0.09052247404311649,0.0108104872079285
