gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,Acute-log10(p_value),Acute-log10(padj),np_score
Ube2e3,-0.0345040642244659,0.8272564447252558,0.9672874863172168,0.08235984079220904,0.01444443060620044,0.0111288435386888
Dync1i2,-0.0183057473551912,0.9154248538707984,0.9835109517332224,0.03837730061265998,0.007220799699068168,0.010495
Cwc22,0.2926309119195392,0.2110755882911401,0.6607972213493394,0.6755619916260326,0.1799317918910432,0.0108535713891521
Hat1,-0.3711306907757459,0.0696154003860652,0.3957369735705097,1.1572946747165018,0.4025933718529874,0.0102048453304473
Cers6,-1.7938791428937604,4.394022313365815e-05,0.0020771864377693,4.357137742011084,2.6825245216350324,0.0103535714285714
Ssrp1,-0.0916337740404155,0.5760458217137322,0.8951281691659235,0.23954296913594722,0.04811477566034703,0.0111950843454081
Timm10,-0.5088213914294712,0.2053860662914056,0.6539257126433027,0.687429022949141,0.1844715856536669,0.01061875
Med19,-0.0698247226702265,0.7625493154114426,0.9506516173889866,0.11773206448150907,0.021978608578388546,0.0106976186423867
Itgav,-0.6686259169492056,0.0152421967265123,0.1633755426739212,1.8169524373631212,0.7868129568412506,0.0127877156183987
Phospho2,0.1899955233847915,0.3192222371155783,0.7632122057778965,0.49590686318530997,0.11735469273320677,0.0101931435442589
Atf2,-0.1487592025772033,0.4145776030792695,0.8225989773283597,0.38239416370337237,0.08481183475016761,0.010536347604074
Ola1,-0.4825490378486901,0.0128754227790456,0.1456978905772935,1.8902385015029264,0.8365467359257762,0.0102803865325573
Sp3,-0.1999686737427858,0.3152857317816632,0.7608217546765946,0.501295682752576,0.11871707782547446,0.0102977841089001
Itga6,-0.5973108284375022,0.001771900636456,0.0352600927562639,2.7515606358625084,1.4527165495670262,0.0114566441859629
Kif18a,0.1000123091597862,0.6926105494981645,0.93170289846845,0.15951089777941493,0.030722553446459484,0.0100920617556893
Nop10,-0.1351124570605258,0.5600335360883505,0.8914138885181481,0.2517859656687503,0.049920603747929386,0.0104714285714285
Lpcat4,0.1039029896818225,0.6845074795263304,0.929870023078382,0.1646218020233944,0.03157775274155859,0.0134033825937423
